Algoritma,Run,Score,Dist_km,MaxFatigue,Violations
ACO,1,163.24477601519195,86.67739999999998,18.62695040607679,3
ACO,2,164.0730483324574,87.76979999999999,18.52129933298297,3
ACO,3,166.3421674717518,89.20299999999996,18.855666988700733,3
ACO,4,170.94477426077162,97.11410000000001,17.532269704308643,3
ACO,5,165.23224054837928,89.77689999999998,18.182136219351722,3
ACO,6,168.0114723434748,86.65939999999999,16.540828937389925,4
ACO,7,165.50021128798247,87.334,19.266484515192985,3
ACO,8,170.88619904195284,89.9978,16.355359616781133,4
ACO,9,164.9118465026462,88.28460000000001,18.65089860105848,3
ACO,10,165.52308205851523,88.73380000000002,18.71571282340608,3
GA,1,180.3477,93.19770000000001,18.86,4
GA,2,178.7740807050591,102.6315,18.457032282023643,3
GA,3,193.03326007135996,99.48789999999998,17.418144028544,5
GA,4,185.98387607331873,100.37870000000001,18.242070429327487,4
GA,5,183.99259078891367,97.03049999999998,18.784836315565475,4
GA,6,174.7163,87.5663,18.86,4
GA,7,168.66979093596825,92.17289999999997,18.59875637438731,3
GA,8,190.98063988421845,96.20920000000001,17.90857595368737,5
GA,9,190.72720640144044,106.63640000000002,17.63632256057617,4
GA,10,193.7148,106.56479999999999,18.86,4
