Hari,Jarak (Km),Fatigue Index,Skor Jalan,P_Jarak,P_Fatigue,P_Cluster
Trip 1 (Sabtu (Jalan Berat)),19.7,0.85,19.25,0.0,1.7,50.0
Trip 2 (Minggu (Recovery)),15.4,0.69,18.6,0.0,10.28,0.0
Trip 3 (Sabtu (Jalan Berat)),21.45,1.09,12.2,7.26,2.18,0.0
Trip 4 (Minggu (Recovery)),20.23,1.39,14.6,5.71,20.85,50.0
Trip 5 (Sabtu (Jalan Berat)),14.78,1.3,26.6,0.0,2.59,0.0
Trip 6 (Minggu (Recovery)),17.34,1.29,7.5,0.0,19.37,50.0
Trip 7 (Sabtu (Jalan Berat)),20.02,1.61,9.0,0.11,3.22,0.0
Trip 8 (Minggu (Recovery)),19.39,0.67,14.3,0.0,10.04,50.0
Trip 9 (Sabtu (Jalan Berat)),22.86,1.5,14.7,14.31,3.0,0.0
