,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Taman Pradah Kalikendal,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.4,2.3,2.3,2.4,2.4,2.3,2.3,2.3,2.3,2.3,2.4,2.4,0.0,2.4,2.4,2.3,2.4,2.4,1.9,1.9,2.3,2.4,1.9,2.15,2.15,2.4,1.9,2.3,2.3,2.3,2.3,2.15,2.4,2.3,2.4,1.9,2.3,2.525,1.9,2.4,2.4,2.3
Kawasan Sukomanunggal,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,0.0,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Jalan Raya Kupang Indah,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,0.0,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Taman Makam Pahlawan Mayjen Sungkono,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.3,2.3,2.5,2.5,4.0,2.3,2.3,1.5,1.5,2.5,2.5,2.3,2.5,2.5,0.0,2.5,2.5,1.5,1.5,4.0,2.5,1.5,2.0,2.0,2.5,1.5,2.3,2.3,2.3,2.3,2.0,2.5,2.3,2.5,1.5,2.3,2.75,1.5,2.5,2.5,4.0
Ciputra World Surabaya,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,0.0,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Kampus B Unair,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,0.0,2.0,2.0,2.5,2.5,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Jalan Dharmahusada,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,2.0,2.0,1.5,1.9,1.9,1.5,1.5,2.0,2.0,1.9,2.0,2.0,1.5,2.0,2.0,0.0,1.5,1.5,2.0,1.5,1.75,1.75,2.0,1.5,1.9,1.9,1.9,1.9,1.75,2.0,1.9,2.0,1.5,1.9,2.125,1.5,2.0,2.0,1.5
Taman Mojo,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,2.0,2.0,1.5,1.9,1.9,1.5,1.5,2.0,2.0,1.9,2.0,2.0,1.5,2.0,2.0,1.5,0.0,1.5,2.0,1.5,1.75,1.75,2.0,1.5,1.9,1.9,1.9,1.9,1.75,2.0,1.9,2.0,1.5,1.9,2.125,1.5,2.0,2.0,1.5
Jalan Manyar Kertoarjo,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.3,2.3,2.5,2.5,4.0,2.3,2.3,4.0,4.0,2.5,2.5,2.3,2.5,2.5,4.0,2.5,2.5,1.5,1.5,0.0,2.5,1.5,2.0,2.0,2.5,1.5,2.3,2.3,2.3,2.3,2.0,2.5,2.3,2.5,1.5,2.3,2.75,1.5,2.5,2.5,1.5
Kampus A Unair Kedokteran,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,0.0,2.0,2.25,2.25,2.5,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Jalan Kertajaya Indah,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,2.0,2.0,1.5,1.9,1.9,1.5,1.5,2.0,2.0,1.9,2.0,2.0,1.5,2.0,2.0,1.5,1.5,1.5,2.0,0.0,1.75,1.75,2.0,1.5,1.9,1.9,1.9,1.9,1.75,2.0,1.9,2.0,1.5,1.9,2.125,1.5,2.0,2.0,1.5
Taman Flora Bratang,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.15,2.15,2.25,2.25,2.0,2.15,2.15,2.0,2.0,2.25,2.25,2.15,2.25,2.25,2.0,2.25,2.25,1.75,1.75,2.0,2.25,1.75,0.0,2.0,2.25,1.75,2.15,2.15,2.15,2.15,2.0,2.25,2.15,2.25,1.75,2.15,2.375,1.75,2.25,2.25,2.0
Taman Kebun Bibit Bratang,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.25,2.15,2.15,2.25,2.25,2.0,2.15,2.15,2.0,2.0,2.25,2.25,2.15,2.25,2.25,2.0,2.25,2.25,1.75,1.75,2.0,2.25,1.75,2.0,0.0,2.25,1.75,2.15,2.15,2.15,2.15,2.0,2.25,2.15,2.25,1.75,2.15,2.375,1.75,2.25,2.25,2.0
Jalan Karang Menur,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.4,2.4,2.5,2.5,2.5,2.5,2.4,2.5,2.5,2.5,2.5,2.5,2.0,2.0,2.5,2.5,2.0,2.25,2.25,0.0,2.0,2.4,2.4,2.4,2.4,2.25,2.5,2.4,2.5,2.0,2.4,2.625,2.0,2.5,2.5,2.5
Kawasan Menur Pumpungan,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,2.0,1.9,1.9,2.0,2.0,1.5,1.9,1.9,1.5,1.5,2.0,2.0,1.9,2.0,2.0,1.5,2.0,2.0,1.5,1.5,1.5,2.0,1.5,1.75,1.75,2.0,0.0,1.9,1.9,1.9,1.9,1.75,2.0,1.9,2.0,1.5,1.9,2.125,1.5,2.0,2.0,1.5
