,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Jembatan Merah Surabaya,3691.55,4437.18,3401.76,3624.46,4094.88,4794.25,4267.99,5307.25,5542.4,4295.85,3037.54,3929.0,4795.53,2302.22,4209.89,3675.97,11102.55,11890.7,11816.64,11719.71,10137.96,11866.13,8228.32,9599.32,8876.35,8505.87,6051.11,6838.12,7580.15,7652.24,5941.5,8780.02,9531.09,9447.99,6729.24,9557.99,0.0,1193.88,1041.23,1447.16,2415.2,589.72,1581.19,695.86,1909.97,2620.75,7777.98,7216.14,8577.14,8711.58,11355.63
Kya-Kya Kembang Jepun,3422.51,4168.14,3132.72,3355.42,3825.84,4525.21,3998.95,4299.13,4534.28,3572.19,2768.5,3659.96,4526.49,2033.18,3940.85,2667.85,10833.51,11621.66,11547.6,11450.67,9868.92,11597.09,7959.28,9330.28,8607.31,8236.84,5042.99,5830.0,6572.03,6644.12,4933.38,7771.9,8522.97,8439.87,5721.12,8549.87,1623.48,0.0,2664.71,439.04,1221.32,1633.51,3058.34,1983.99,901.85,1612.62,7508.94,6947.1,8308.1,8442.54,11086.59
House of Sampoerna,4070.28,4815.9,3780.49,4003.19,4473.61,5172.98,4646.71,5687.15,5922.3,4674.58,3416.26,4307.72,5174.25,2680.94,4588.62,4055.87,11471.61,12178.14,12104.07,12007.15,10507.02,12244.85,8058.23,9978.04,9255.07,8884.6,6431.01,7218.02,7960.05,8032.14,6321.4,9159.92,9910.99,9827.89,7109.14,9937.89,1142.32,1573.78,0.0,1827.06,2625.24,1002.84,722.03,899.76,2289.87,3000.64,8156.7,7594.86,8955.86,9090.31,11734.36
Stasiun Surabaya Kota (Semut),3081.53,3827.16,2791.74,3014.44,3484.86,4184.23,3657.97,4575.83,4810.98,3685.83,2427.52,3318.98,4185.51,1692.2,3599.87,2944.55,10492.53,11280.68,11206.61,11109.69,9527.94,11256.11,7618.3,8989.3,8266.33,7895.85,5319.69,6106.7,6848.73,6920.82,5210.08,8048.6,8799.67,8716.57,5997.82,8826.57,1644.32,1306.42,2685.54,0.0,2158.49,1654.35,3079.18,2004.82,1586.6,1992.36,7167.96,6606.12,7967.12,8101.56,10745.61
Kawasan Ampel Suci,4219.71,4965.34,3929.93,4152.63,4623.05,5322.41,4796.15,5163.58,5398.72,4436.64,3565.7,4457.16,5323.69,2830.38,4738.05,3532.3,11630.72,12418.87,12344.8,12247.87,10666.12,12394.29,8756.48,10127.48,9404.51,9034.04,5907.44,6694.44,7436.47,7508.57,5797.82,8636.34,9387.42,9304.31,6585.56,9414.31,1482.51,1095.37,2142.72,1534.4,0.0,1492.54,2697.48,1843.02,1412.8,2477.07,8306.14,7744.3,9105.3,9239.74,11883.8
Taman Jayengrono,3101.83,3847.45,2812.04,3034.74,3505.16,4204.53,3678.26,4717.53,4952.68,3706.13,2447.81,3339.27,4205.8,1712.49,3620.17,3086.25,10512.83,11300.98,11226.91,11129.99,9548.24,11276.4,7638.6,9009.59,8286.63,7916.15,5461.39,6248.39,6990.42,7062.52,5351.78,8190.3,8941.37,8858.27,6139.52,8968.26,152.62,604.15,1109.43,857.44,1825.47,0.0,1485.76,350.48,1320.24,2031.02,7188.25,6626.42,7987.41,8121.86,10765.91
Jalan Rajawali,3717.91,4463.53,3428.12,3650.82,4121.24,4820.61,4294.34,5334.78,5569.93,4322.21,3063.89,3955.35,4821.88,2328.57,4236.25,3703.5,10863.28,11569.81,11495.74,11398.81,9898.68,11715.6,7449.9,9619.61,8902.7,8532.23,6078.64,6865.65,7607.68,7679.77,5969.03,8807.55,9558.62,9475.52,6756.77,9585.52,979.18,1221.41,874.83,1474.69,2442.72,826.56,0.0,931.04,1937.5,2648.27,7804.33,7242.49,8603.49,8737.94,11381.99
Gedung Cerutu,3204.91,3950.53,2915.12,3137.82,3608.24,4307.61,3781.34,4820.61,5055.75,3809.21,2550.89,3442.35,4308.88,1815.57,3723.25,3189.33,10615.91,11404.06,11329.99,11233.07,9651.32,11379.48,7741.67,9112.67,8389.7,8019.23,5564.47,6351.47,7093.5,7165.6,5454.86,8293.38,9044.45,8961.34,6242.6,9071.34,242.56,707.23,1097.64,960.51,1928.55,103.08,1473.97,0.0,1423.32,2134.1,7291.33,6729.49,8090.49,8224.94,10868.99
Jalan Kembang Jepun Timur,4048.43,4353.8,3758.64,3981.34,4011.5,4710.87,4184.61,4104.23,4339.38,3377.3,3394.41,4317.7,5152.41,2690.92,4598.59,2472.95,11491.26,12279.41,12205.34,12108.41,10526.66,12254.83,8617.02,9988.02,9265.05,8779.74,4848.09,5635.1,6377.13,6449.22,4738.48,7504.87,8328.08,8244.97,5526.22,8354.97,1906.13,1027.43,2947.35,1407.82,1503.97,1916.16,3340.99,2266.64,0.0,1381.51,7682.14,6808.33,8481.3,8615.74,11259.79
Kawasan Kapasan,3476.89,3782.26,3187.1,3409.8,3439.96,4139.33,3613.07,3532.7,3767.84,2805.76,2822.88,3800.35,4580.87,2332.47,4186.64,1901.42,11079.3,11867.45,11793.38,11696.45,10114.7,11790.66,8205.06,9523.84,8800.88,8208.2,4276.56,5063.56,5805.59,5877.69,4166.94,6931.22,7756.54,7673.43,4954.68,7783.43,2746.45,1867.75,3787.68,2033.38,2344.29,2756.48,3951.24,3106.96,840.32,0.0,7110.6,6236.79,7909.76,8044.2,10688.25
Taman Bungkul,5935.5,4278.68,5645.71,5868.41,3936.38,3434.19,3766.55,3756.22,3703.61,5225.6,5376.34,5063.83,3496.72,6278.2,5231.24,5381.69,6390.41,7856.93,8005.16,7908.24,6212.45,7084.32,6670.44,4817.51,4094.54,2992.3,4651.09,5177.79,5149.62,4674.1,4085.33,5708.33,2954.13,2871.03,4352.5,4787.14,7769.01,7472.61,8735.03,7344.7,8171.28,7779.04,7896.97,8129.52,7245.69,6850.5,0.0,968.95,1139.23,1273.68,3917.73
Jalan Raya Darmo (CFD),5140.8,3483.98,4851.02,5073.72,3141.69,2631.08,2971.85,2953.11,2900.51,4422.49,4581.65,4269.14,2702.03,5483.51,4559.13,4578.59,6705.57,8172.09,8320.33,8223.4,6527.62,7399.49,6669.55,5132.68,4409.71,3307.47,3924.45,4545.72,4517.55,4514.03,3347.89,5548.27,2794.07,2710.96,3647.92,4627.07,6974.32,6677.91,7940.34,6550.01,7376.59,6984.35,7102.27,7334.82,6451.0,6047.4,1294.93,0.0,2172.17,2306.62,4950.67
Kebun Binatang Surabaya,6018.87,4474.36,5729.08,5951.78,4132.06,4001.99,3962.23,4324.02,4271.41,5627.45,5390.82,5009.64,3692.4,6224.01,4925.24,5850.21,5712.75,7179.27,7327.51,7230.58,5534.8,6406.67,6364.43,4139.86,3416.89,2418.28,5295.36,5916.63,5888.46,5641.23,4718.8,6675.47,3921.27,3838.16,5018.83,5754.27,7714.82,7668.29,8680.85,7540.38,8366.96,7724.85,7842.78,8075.33,7441.37,7418.31,1388.07,1927.9,0.0,134.45,4326.68
Patung Suro dan Boyo,5892.01,4347.5,5602.22,5824.92,4005.2,3875.14,3835.37,4197.17,4144.56,5500.59,5263.96,4882.79,3565.54,6097.15,4798.38,5723.35,5585.89,7052.42,7200.65,7103.73,5407.94,6279.81,6237.57,4013.0,3290.03,2291.42,5168.5,5789.77,5761.61,5514.38,4591.94,6548.61,3794.41,3711.31,4891.97,5627.42,7587.96,7541.43,8553.99,7413.52,8240.11,7597.99,7715.92,7948.47,7314.52,7291.45,1261.21,1801.04,134.45,0.0,4199.82
Kawasan Kampus Ketintang Unesa,9098.42,7441.6,8808.64,9031.34,7099.31,6969.24,6929.47,7291.27,7238.66,8594.7,8539.27,8184.62,6659.65,9398.98,8100.21,8817.45,6462.36,7928.88,8077.12,7980.19,6284.41,7156.28,8619.08,4862.58,4369.63,4807.26,8100.34,8627.04,8598.87,8123.34,7534.58,9157.58,5734.18,5646.13,7801.75,7848.54,10889.79,10635.53,11855.82,10507.63,11334.21,10899.83,11017.75,11250.3,10408.62,10374.55,4161.56,4821.52,3364.16,3498.61,0.0
