,Hotel Sheraton Surabaya,Alun-Alun Surabaya,Jalan Tunjungan,Hotel Majapahit,Gedung Negara Grahadi,Monumen Bambu Runcing,Taman Apsari,Monumen Kapal Selam,Plaza Surabaya,Taman Prestasi,Gedung Siola,Pasar Blauran,Jalan Basuki Rahmat,Monumen Tugu Pahlawan,Jalan Kedungdoro,Taman Ekspresi,Jalan Raya Darmo Permai,Graha Famili Timur,Spazio Jalan Yono Soewoyo,Plaza Segi Delapan,Jalan HR Muhammad,Taman Pradah Kalikendal,Kawasan Sukomanunggal,Jalan Raya Kupang Indah,Taman Makam Pahlawan Mayjen Sungkono,Ciputra World Surabaya,Kampus B Unair,Jalan Dharmahusada,Taman Mojo,Jalan Manyar Kertoarjo,Kampus A Unair Kedokteran,Jalan Kertajaya Indah,Taman Flora Bratang,Taman Kebun Bibit Bratang,Jalan Karang Menur,Kawasan Menur Pumpungan,Jembatan Merah Surabaya,Kya-Kya Kembang Jepun,House of Sampoerna,Stasiun Surabaya Kota (Semut),Kawasan Ampel Suci,Taman Jayengrono,Jalan Rajawali,Gedung Cerutu,Jalan Kembang Jepun Timur,Kawasan Kapasan,Taman Bungkul,Jalan Raya Darmo (CFD),Kebun Binatang Surabaya,Patung Suro dan Boyo,Kawasan Kampus Ketintang Unesa
Gedung Siola,1157.08,1902.71,867.29,1089.99,1560.41,2259.78,1733.52,3032.85,3074.08,1806.19,0.0,1124.1,2261.06,1368.16,1526.48,2028.95,8420.49,9410.64,9336.57,9239.65,7607.75,9114.4,5970.95,6847.59,6124.62,5754.15,3668.42,4455.43,5197.46,5269.55,3732.13,6438.01,7163.63,7080.52,4346.55,7175.3,2858.97,2923.32,3824.99,2686.76,3911.21,2869.0,2986.93,3219.47,3339.33,3689.92,5243.51,4681.67,6042.67,6177.11,8821.16
Pasar Blauran,1009.22,1754.85,719.43,942.13,1412.55,2111.92,1585.66,2907.19,2926.21,1680.53,381.17,0.0,2113.2,1214.37,891.24,1903.29,7693.98,8853.25,8779.19,8682.26,7050.37,8387.9,5413.56,6121.09,5398.12,5027.64,3542.76,4329.76,5071.79,5143.89,3606.47,6312.34,7015.76,6932.66,4220.89,7049.63,2705.18,2769.53,3671.2,2532.97,3757.42,2715.21,2833.13,3065.68,3185.54,3564.26,5095.65,4533.81,5873.87,6008.32,8652.37
Jalan Basuki Rahmat,2576.33,2789.5,2286.54,2509.24,2447.2,3146.57,2277.37,3778.54,3725.94,3247.64,1948.28,1567.11,0.0,2781.48,1857.1,3470.4,7842.09,9308.61,9285.19,9188.27,7252.57,8536.0,6315.38,6269.19,5546.23,5131.65,4814.87,5601.87,5610.28,5663.65,4440.62,6849.9,6643.8,6560.69,4740.65,7158.61,4272.29,4336.64,5238.31,4100.08,5324.53,4282.32,4400.24,4632.79,4752.65,5131.37,4671.82,4126.05,5470.98,5605.43,8249.48
Monumen Tugu Pahlawan,2495.95,3241.57,2206.16,2428.86,2899.28,3598.65,3072.39,4326.91,4412.94,3100.25,1841.93,2124.5,3599.92,0.0,2099.55,2766.17,8992.21,9780.36,9706.29,9609.37,8027.62,9755.78,6105.6,7488.97,6766.01,6395.53,4962.48,5749.49,6491.52,6563.61,5026.19,7732.07,8502.49,8419.39,5640.61,8469.36,1490.81,1555.16,2456.84,1318.6,2543.06,1500.84,1618.77,1851.32,1971.17,2410.38,6582.37,6020.54,7241.76,7376.2,10020.25
Jalan Kedungdoro,1891.69,2637.32,1601.9,1824.6,2295.02,2994.39,2468.13,3789.66,3808.69,2563.0,1263.65,882.47,1991.07,2096.84,0.0,2785.76,7238.47,8125.66,8051.6,7954.67,6273.88,7988.55,4913.58,5721.74,4998.77,4628.3,4425.23,5212.23,5954.27,6026.36,4488.94,7194.82,7265.77,7182.67,5103.36,7932.11,3587.65,3652.0,4553.67,3415.44,4639.89,3597.68,3715.6,3948.15,4068.01,4446.73,4925.4,4748.03,5474.52,5608.97,8253.02
Taman Ekspresi,2805.28,2022.92,2515.49,2738.19,1680.63,2379.99,1853.73,1881.65,2116.79,1046.42,2246.12,3239.08,3909.25,2209.54,3641.46,0.0,10103.26,11509.86,11435.79,11338.87,9722.74,10797.18,8052.01,8530.36,7807.4,6461.32,2517.22,3304.22,4046.25,4118.35,2580.93,5286.8,6060.4,5977.29,3195.35,6024.09,3599.69,2737.99,4640.92,2610.08,3436.67,3609.72,3828.31,3960.2,2511.08,2069.7,5363.72,4585.74,6162.88,6297.33,8941.38
Jalan Raya Darmo Permai,8309.55,8683.85,8019.77,8242.47,8341.55,8255.71,8171.72,8577.74,8525.13,8980.86,7681.51,7300.33,7542.76,8514.7,6783.03,9203.62,0.0,1688.82,1614.76,1517.83,742.32,1917.79,3806.6,1955.98,2892.41,3883.46,9549.07,10170.35,10142.18,10195.55,8972.52,11318.32,8706.3,8623.2,9272.55,10539.31,10005.51,10069.86,10971.53,9833.3,11057.75,10015.54,10133.47,10366.02,10485.87,10864.59,6173.1,6712.94,6050.78,6185.22,7076.15
Graha Famili Timur,9709.5,10094.35,9419.71,9642.41,9752.05,10039.62,9582.22,10361.66,10309.05,10380.8,9081.45,8700.28,8942.7,9806.59,7988.52,10603.56,1906.5,0.0,1226.14,1129.22,2526.23,892.4,4716.0,3739.9,4676.32,5667.37,11332.99,11954.26,11926.1,11979.46,10756.43,13102.23,10490.22,10407.11,11056.46,12323.23,11187.54,11251.89,12008.62,11015.34,12239.79,11197.57,11315.5,11548.05,11667.91,12107.11,7957.02,8496.85,7834.69,7969.14,8860.06
Spazio Jalan Yono Soewoyo,9907.88,10292.73,9618.09,9840.79,9950.43,10238.0,9780.6,10560.03,10507.42,10579.18,9279.83,8898.65,9141.08,10004.97,8186.9,10801.94,2104.87,1575.93,0.0,1341.05,2724.61,1804.9,4914.37,3938.27,4874.7,5865.75,11531.36,12152.64,12124.47,12177.84,10954.81,13300.61,10688.6,10605.49,11254.84,12521.6,11385.92,11450.27,12206.99,11213.71,12438.17,11395.95,11513.88,11746.43,11866.28,12305.49,8155.4,8695.23,8033.07,8167.52,9058.44
Plaza Segi Delapan,9505.33,9890.18,9215.54,9438.24,9547.88,9835.45,9378.05,10157.48,10104.87,10176.63,8877.28,8496.11,8738.53,9602.42,7784.35,10399.39,1702.32,1173.38,513.32,0.0,2322.06,1402.35,4511.82,3535.73,4472.15,5463.2,11128.82,11750.09,11721.92,11775.29,10552.26,12898.06,10286.05,10202.94,10852.29,12119.05,10983.37,11047.72,11804.45,10811.16,12035.62,10993.4,11111.33,11343.88,11463.74,11902.94,7752.85,8292.68,7630.52,7764.97,8655.89
Jalan HR Muhammad,7848.57,8220.75,7558.78,7781.48,7878.45,7748.39,7708.62,8070.42,8017.81,8519.87,7220.52,6839.34,7081.77,8053.71,6584.64,8742.63,1323.19,2618.13,2544.06,2447.13,0.0,2286.51,3608.21,1448.66,2385.08,3376.13,9041.75,9663.02,9634.86,9688.22,8465.19,10810.99,8198.98,8115.88,8765.22,10031.99,9544.52,9608.87,10510.55,9372.31,10596.77,9554.55,9672.48,9905.03,10024.88,10403.6,5665.78,6205.61,5543.45,5677.9,6568.82
Taman Pradah Kalikendal,9473.96,9846.14,9184.17,9406.87,9503.84,9373.78,9334.01,9695.81,9643.2,10145.26,8845.91,8464.74,8707.16,9679.1,8235.15,10368.02,2153.13,866.65,1472.78,1375.85,2457.47,0.0,4962.63,3074.05,4010.47,5001.53,10667.14,11288.41,11260.25,11313.61,10090.58,12436.38,9824.37,9741.27,10390.61,11657.38,11169.91,11234.26,12135.94,10997.7,12222.16,11179.94,11297.87,11530.42,11650.28,12029.0,7291.17,7831.0,7168.85,7303.29,8157.41
Kawasan Sukomanunggal,6258.82,6660.14,5969.03,6191.73,6317.84,6802.45,6148.01,7124.48,7071.87,6930.13,5630.77,5249.6,5508.49,6048.05,4554.31,7152.88,4375.15,4777.19,4703.12,4606.2,3651.73,5006.16,0.0,3948.71,4907.49,5321.09,8135.66,8756.93,8728.77,8782.13,7559.1,9904.9,8722.14,8639.04,7859.13,9696.51,7414.19,7478.54,7940.45,7241.98,8466.43,7424.22,7431.86,7774.69,7894.55,8333.75,6188.94,6265.82,6738.06,6872.51,8981.65
Jalan Raya Kupang Indah,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,0.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0,5000.0
Taman Makam Pahlawan Mayjen Sungkono,6098.75,6395.77,5808.96,6031.66,6053.48,5923.41,5883.64,6245.44,6192.83,6770.06,5470.71,5089.53,5331.95,6303.9,4944.59,6992.82,2654.72,4121.24,4269.47,4172.55,2476.77,3348.63,4838.31,1081.82,0.0,1551.16,7216.77,7838.04,7809.88,7863.25,6640.21,8986.01,6374.0,6290.9,6940.25,8207.01,7794.71,7859.06,8760.73,7622.5,8846.95,7804.74,7922.67,8155.21,8275.07,8653.79,3840.8,4380.63,3718.48,3852.92,4370.76
Ciputra World Surabaya,5821.7,5074.53,5531.91,5754.61,4732.24,4602.17,4562.4,4924.2,4871.59,6227.62,5193.65,4812.48,4292.58,6026.84,4728.07,6450.38,4031.26,5497.78,5646.01,5549.09,3853.31,4725.17,5561.15,2458.36,1735.39,0.0,5895.53,6516.8,6488.64,6542.01,5318.97,7664.77,5107.59,5024.48,5619.0,6940.59,7517.65,7582.01,8483.68,7345.45,8569.9,7527.68,7645.61,7878.16,7998.02,8018.48,2574.39,3114.22,2452.06,2586.51,4528.52
