iter	Passed	Remaining
240	35064	139531
241	35215	139407
242	35361	139263
243	35512	139140
244	35650	138963
245	35820	138911
246	35978	138815
247	36121	138659
248	36301	138643
249	36451	138516
250	36612	138429
251	36754	138267
252	36903	138131
253	37057	138018
254	37209	137893
255	37353	137742
256	37496	137585
257	37640	137433
258	37788	137294
259	37928	137126
260	38151	137256
261	38294	137099
262	38436	136939
263	38585	136804
264	38717	136608
265	38863	136460
266	38993	136259
267	39149	136147
268	39284	135961
269	39418	135775
270	39568	135642
271	39708	135475
272	39844	135296
273	39981	135118
274	40126	134969
275	40306	134939
276	40476	134871
277	40618	134713
278	40765	134571
279	40922	134461
280	41062	134294
281	41195	134103
282	41339	133952
283	41471	133761
284	41608	133586
285	41758	133450
286	41902	133298
287	42044	133139
288	42176	132951
289	42322	132806
290	42456	132620
291	42590	132440
292	42742	132313
293	42885	132155
294	43028	132002
295	43170	131845
296	43316	131699
297	43461	131550
298	43681	131628
299	43840	131521
300	43975	131341
301	44121	131194
302	44266	131045
303	44410	130894
304	44555	130745
305	44701	130597
306	44848	130455
307	44988	130291
308	45130	130133
309	45280	129997
310	45429	129860
311	45563	129681
312	45705	129522
313	45861	129406
314	45990	129210
315	46120	129020
316	46254	128840
317	46395	128683
318	46538	128528
319	46687	128389
320	46854	128301
321	46991	128132
322	47143	128001
323	47307	127905
324	47461	127780
325	47598	127611
326	47737	127445
327	47883	127299
328	48012	127109
329	48144	126927
330	48291	126783
331	48450	126671
332	48597	126528
333	48731	126352
334	48888	126234
335	49112	126290
336	49247	126114
337	49383	125942
338	49518	125769
339	49661	125614
340	49806	125465
341	49959	125335
342	50099	125174
343	50242	125022
344	50392	124885
345	50538	124738
346	50678	124577
347	50840	124470
348	50992	124338
349	51131	124176
350	51283	124044
351	51416	123868
352	51560	123715
353	51707	123571
354	51858	123437
355	52031	123356
356	52166	123183
357	52310	123031
358	52461	122896
359	52613	122765
360	52754	122607
361	52904	122469
362	53057	122338
363	53194	122172
364	53354	122057
365	53501	121912
366	53651	121776
367	53784	121600
368	53929	121451
369	54085	121326
370	54224	121165
371	54361	120998
372	54595	121046
373	54727	120868
374	54869	120713
375	55021	120578
376	55150	120394
377	55313	120285
378	55465	120150
379	55609	120000
380	55752	119846
381	55889	119679
382	56051	119565
383	56195	119415
384	56353	119294
385	56501	119149
386	56650	119009
387	56817	118907
388	56959	118750
389	57100	118593
390	57234	118420
391	57362	118236
392	57496	118064
393	57640	117915
394	57785	117765
395	57937	117629
