iter	Accuracy	MultiClass
103	0.9537914692	0.3455347459
104	0.9543838863	0.3436453348
105	0.9543838863	0.3424909696
106	0.9537914692	0.3417570549
107	0.9543838863	0.340445025
108	0.9555687204	0.3365337916
109	0.9567535545	0.3338965284
110	0.9573459716	0.332565979
111	0.9573459716	0.3282080244
112	0.9585308057	0.3251351613
113	0.9603080569	0.3201773671
114	0.9603080569	0.3170512119
115	0.9597156398	0.3160958068
116	0.9597156398	0.3149558558
117	0.9609004739	0.3139227868
118	0.9609004739	0.3129856429
119	0.9609004739	0.3110407655
120	0.9609004739	0.3083020953
121	0.961492891	0.3074077074
122	0.961492891	0.3068361491
123	0.9620853081	0.3055288394
124	0.9620853081	0.304228416
125	0.9620853081	0.3014058994
126	0.9626777251	0.3004500709
127	0.9638625592	0.2987001642
128	0.9632701422	0.2974361937
129	0.9644549763	0.2938665587
130	0.9644549763	0.2918083795
131	0.9656398104	0.2897724074
132	0.9650473934	0.288334889
133	0.9656398104	0.285665451
134	0.9656398104	0.2854526833
135	0.9662322275	0.2849823696
136	0.9662322275	0.2837490332
137	0.9674170616	0.2814346844
138	0.9680094787	0.2799322702
139	0.9686018957	0.2785683062
140	0.9686018957	0.2756320615
141	0.9680094787	0.2722603824
142	0.9680094787	0.2720267821
143	0.9680094787	0.2701359083
144	0.9680094787	0.2689533457
145	0.9680094787	0.2685862759
146	0.9686018957	0.266647663
147	0.9697867299	0.2632820625
148	0.9703791469	0.260996588
149	0.970971564	0.2591890423
150	0.9721563981	0.2564933883
151	0.9703791469	0.2542093443
152	0.970971564	0.2525588759
153	0.9703791469	0.249658466
154	0.970971564	0.2481436599
155	0.970971564	0.2464429958
156	0.970971564	0.2455429993
157	0.9721563981	0.24435627
158	0.971563981	0.2414610839
159	0.9721563981	0.2391766733
160	0.9727488152	0.2381464719
161	0.9727488152	0.2368712041
162	0.9727488152	0.2359368492
163	0.9733412322	0.233997433
164	0.9733412322	0.2331686807
165	0.9733412322	0.2320008001
166	0.9751184834	0.2306775929
167	0.9786729858	0.2288078381
168	0.9792654028	0.2266806041
169	0.9786729858	0.2262896137
170	0.9792654028	0.224667914
171	0.9786729858	0.222831293
172	0.9786729858	0.2216499683
173	0.9792654028	0.2209111595
174	0.9798578199	0.2201924056
175	0.9786729858	0.2199801169
176	0.9792654028	0.2179345479
177	0.9786729858	0.2169262373
178	0.9792654028	0.2152113664
179	0.9786729858	0.2142739926
180	0.9798578199	0.2135942493
181	0.980450237	0.2127305648
182	0.9798578199	0.2111171509
183	0.9798578199	0.2105481225
184	0.981042654	0.208783941
185	0.9816350711	0.2079920984
186	0.9828199052	0.2065000874
187	0.9828199052	0.2047599919
188	0.9828199052	0.2043627106
189	0.9828199052	0.2033811265
190	0.9834123223	0.2020950576
191	0.9828199052	0.1996518803
192	0.9834123223	0.1976715208
193	0.9834123223	0.1972375436
194	0.9834123223	0.1963064451
195	0.9834123223	0.1961583982
196	0.9840047393	0.1952004988
197	0.9840047393	0.1944233014
198	0.9840047393	0.1932425698
199	0.9840047393	0.1929366954
200	0.9845971564	0.1917689898
201	0.9845971564	0.190675794
202	0.9845971564	0.1899236445
203	0.9845971564	0.1897243791
204	0.9845971564	0.1879695453
205	0.9845971564	0.1868296533
206	0.9845971564	0.1850136503
207	0.9845971564	0.1844864749
208	0.9845971564	0.184026629
209	0.9845971564	0.1831149075
210	0.9845971564	0.1829286571
211	0.9845971564	0.182340078
212	0.9851895735	0.1819001765
213	0.9845971564	0.1805199209
214	0.9845971564	0.1798924229
215	0.9845971564	0.179630968
216	0.9851895735	0.1780252695
217	0.9851895735	0.1770973858
218	0.9851895735	0.1763970383
219	0.9851895735	0.1762293877
220	0.9857819905	0.1754785559
221	0.9863744076	0.1736755181
222	0.9869668246	0.1721308561
223	0.9869668246	0.1719496397
224	0.9869668246	0.1716195428
225	0.9869668246	0.1700581529
226	0.9869668246	0.1695263478
227	0.9869668246	0.1687824737
228	0.9869668246	0.1675865204
229	0.9869668246	0.1668548274
230	0.9869668246	0.166547725
231	0.9869668246	0.1661265672
232	0.9869668246	0.1651557263
233	0.9869668246	0.1644284819
234	0.9869668246	0.1640882746
235	0.9869668246	0.1634936133
236	0.9869668246	0.1626590636
237	0.9869668246	0.1619965719
238	0.9869668246	0.1616550527
239	0.9869668246	0.1608826342
240	0.9869668246	0.1605451132
241	0.9869668246	0.1603272256
242	0.9875592417	0.1601172768
243	0.9875592417	0.1600090669
244	0.9875592417	0.1585878962
245	0.9875592417	0.1578248507
246	0.9881516588	0.1574480924
247	0.9881516588	0.1566103648
248	0.9881516588	0.1562148806
249	0.9881516588	0.1558658631
250	0.9887440758	0.1557165785
251	0.9887440758	0.154810401
252	0.9887440758	0.1540233553
253	0.9893364929	0.1536552521
254	0.9887440758	0.1535522924
255	0.9887440758	0.1534903573
256	0.9887440758	0.1528830385
257	0.9887440758	0.1527891611
258	0.9887440758	0.152577767
259	0.9887440758	0.1523212579
260	0.9887440758	0.1520102172
261	0.9887440758	0.1515859574
262	0.9887440758	0.1510028458
263	0.9887440758	0.1504476207
264	0.9887440758	0.1503925726
265	0.9887440758	0.1500808591
266	0.9887440758	0.1500623228
267	0.9893364929	0.1490806835
268	0.9893364929	0.1489568495
269	0.9893364929	0.1489253287
270	0.9893364929	0.1484435748
271	0.9893364929	0.1481802542
272	0.9893364929	0.1480968675
273	0.9893364929	0.1472373575
274	0.9893364929	0.1459544223
275	0.98992891	0.1446311157
276	0.98992891	0.1443362475
277	0.98992891	0.1434535396
278	0.990521327	0.1432542479
279	0.990521327	0.1431231672
280	0.990521327	0.1428299681
281	0.990521327	0.1425409547
282	0.990521327	0.1421907888
283	0.990521327	0.1420328736
284	0.990521327	0.1419686575
285	0.990521327	0.1418821411
286	0.990521327	0.1416352341
287	0.990521327	0.1408591262
288	0.990521327	0.1406462972
289	0.990521327	0.1395951541
290	0.990521327	0.1390448871
291	0.990521327	0.1381041356
292	0.9911137441	0.1379451432
293	0.9911137441	0.1377913265
294	0.9911137441	0.1377424296
295	0.9911137441	0.137553037
296	0.9917061611	0.1368714303
297	0.9911137441	0.136648547
298	0.9917061611	0.1355061278
299	0.9917061611	0.1354018021
300	0.9922985782	0.1351883218
301	0.9922985782	0.1349906187
302	0.9928909953	0.1349198104
303	0.9928909953	0.1344735141
304	0.9928909953	0.1340580647
305	0.9928909953	0.1338722805
306	0.9928909953	0.1334594287
307	0.9922985782	0.1323842568
308	0.9928909953	0.132091746
309	0.9922985782	0.1315890668
310	0.9922985782	0.131468469
311	0.9922985782	0.1313294484
312	0.9922985782	0.1312281147
313	0.9922985782	0.1309932364
314	0.9922985782	0.1307499844
315	0.9922985782	0.1303087543
316	0.9928909953	0.129536873
317	0.9928909953	0.129189857
318	0.9928909953	0.1283612008
319	0.9928909953	0.127828154
320	0.9928909953	0.1276459862
321	0.9928909953	0.1268567755
322	0.9928909953	0.1266735737
323	0.9928909953	0.1264008091
324	0.9928909953	0.1258957026
325	0.9928909953	0.1256706885
326	0.9928909953	0.1255265037
327	0.9928909953	0.1253751434
328	0.9928909953	0.1247807544
329	0.9928909953	0.1246897859
330	0.9928909953	0.1245920728
331	0.9928909953	0.1245247218
332	0.9928909953	0.124483589
333	0.9928909953	0.1243435125
334	0.9928909953	0.1239998183
335	0.9922985782	0.1233857684
336	0.9922985782	0.1232118571
337	0.9922985782	0.1227886045
338	0.9922985782	0.1227164322
339	0.9922985782	0.1223173263
340	0.9928909953	0.1222649578
341	0.9922985782	0.121873597
342	0.9928909953	0.1216201205
343	0.9934834123	0.1210084812
344	0.9934834123	0.1209459812
345	0.9928909953	0.1206440702
346	0.9934834123	0.1203448305
347	0.9934834123	0.1202367867
348	0.9934834123	0.1201140286
349	0.9934834123	0.1200046593
350	0.9934834123	0.119885562
351	0.9934834123	0.1195499126
352	0.9934834123	0.1192898
353	0.9934834123	0.1191718609
354	0.9934834123	0.1187988178
355	0.9934834123	0.1185280425
356	0.9934834123	0.1184104551
357	0.9934834123	0.1183782663
358	0.9934834123	0.1183391899
359	0.9934834123	0.1181943227
360	0.9934834123	0.1181421968
361	0.9934834123	0.1179673629
362	0.9934834123	0.1176915807
363	0.9934834123	0.1175304844
364	0.9934834123	0.1174016527
365	0.9934834123	0.1169545947
366	0.9934834123	0.1167106248
367	0.9934834123	0.1164289618
368	0.9940758294	0.1160960308
369	0.9940758294	0.1159297413
370	0.9946682464	0.115596851
371	0.9946682464	0.1147363686
372	0.9946682464	0.1142115597
373	0.9946682464	0.1141163519
374	0.9946682464	0.1139837174
375	0.9946682464	0.1139373513
376	0.9946682464	0.1138939005
377	0.9946682464	0.1137360303
378	0.9946682464	0.113610219
379	0.9946682464	0.1135567976
380	0.9946682464	0.1134719565
381	0.9946682464	0.1132702065
382	0.9946682464	0.1130488839
383	0.9946682464	0.11296357
384	0.9946682464	0.1129324526
385	0.9946682464	0.1125457685
386	0.9946682464	0.1123742704
387	0.9946682464	0.1120720129
388	0.9946682464	0.1117412981
389	0.9946682464	0.1115824043
390	0.9946682464	0.1115756282
391	0.9946682464	0.1109311517
392	0.9946682464	0.1108784221
393	0.9946682464	0.1108409514
394	0.9946682464	0.1107898659
395	0.9946682464	0.1105487231
