Run,Score,Dist_km,MaxFatigue,Violations,Generations
1,198.74251382614847,111.69549999999998,18.81880553045939,4,60
2,192.3354,105.1854,18.86,4,60
3,192.46609999999998,95.31609999999999,18.86,5,60
4,200.76349999999996,103.61349999999997,18.86,5,60
5,183.179405823241,96.3494,18.732002329296403,4,60
