0.00	2.29	2.42	1.34	1.51	1.59	1.34	1.62	1.44	3.82	3.64	3.19	3.78	3.81	1.67	10.22	12.53	11.85	11.75	10.23	12.14	10.23	8.64	7.92	7.73	1.90	2.82	4.34	3.62	2.24	4.82	5.79	6.32	2.65	6.16	6.42	6.60	6.44	4.33	6.10	6.49	5.40	6.34	4.07	4.61	4.98	4.28	6.04	6.10	10.40	2.92
1.10	0.00	0.12	0.89	1.37	0.84	2.39	2.67	1.91	1.53	1.34	3.05	2.48	1.52	2.72	8.13	10.44	9.76	9.67	8.15	10.06	8.07	6.55	8.38	8.18	2.95	3.88	5.39	4.67	3.29	5.87	6.84	7.37	3.70	7.22	5.13	5.31	5.15	3.75	5.32	5.19	4.11	5.05	3.73	3.67	4.09	3.79	6.26	6.32	10.34	0.62
0.98	1.91	0.00	0.77	1.24	0.72	2.27	2.54	1.79	1.41	1.22	2.93	2.36	1.40	2.60	8.01	10.32	9.64	9.55	8.02	9.93	7.95	6.43	8.25	8.06	2.83	3.75	5.27	4.55	3.17	5.75	6.71	7.25	3.58	7.09	5.01	5.19	5.03	3.62	5.20	5.07	3.98	4.92	3.60	3.55	3.96	3.67	6.14	6.20	10.21	0.50
2.53	1.87	2.00	0.00	2.79	2.26	2.86	3.13	1.67	3.40	3.22	4.47	2.97	3.39	3.13	10.00	12.32	11.64	11.54	10.02	11.93	9.94	8.42	8.45	8.26	3.42	4.34	5.86	5.14	3.76	6.34	7.30	7.84	4.17	7.68	5.61	5.79	5.63	3.50	5.07	5.68	4.59	5.53	3.48	3.43	5.51	5.80	6.57	6.63	11.92	2.50
2.19	3.87	3.99	2.57	0.00	1.83	2.16	1.85	3.60	3.36	3.17	1.68	4.32	3.35	3.91	7.96	10.27	9.59	9.50	7.98	9.88	8.34	6.38	5.66	5.47	4.04	4.97	6.86	4.64	2.29	6.01	4.87	5.77	4.35	6.24	6.96	7.14	6.98	5.43	7.97	7.03	5.94	6.88	5.94	6.47	2.72	2.42	3.78	3.84	7.86	2.46
0.67	2.91	3.03	1.95	0.93	0.00	1.96	2.23	2.05	2.87	2.68	2.24	3.82	2.86	2.28	8.51	10.82	10.14	10.05	8.53	10.44	8.89	6.93	6.22	6.02	2.52	3.44	4.95	4.24	2.86	5.43	6.40	6.93	3.27	6.78	6.47	6.65	6.49	4.95	6.72	6.53	5.45	6.38	4.69	5.22	3.27	2.98	4.34	4.40	8.41	1.96
0.65	2.89	3.02	1.94	0.92	1.71	0.00	0.31	2.04	3.24	3.05	2.60	4.19	3.23	2.27	8.63	10.94	10.26	10.17	8.65	10.55	8.66	7.05	6.33	6.14	2.50	3.43	4.94	4.22	2.35	5.42	5.20	5.74	3.25	6.57	6.84	7.02	6.86	4.93	6.70	6.90	5.82	6.75	4.68	5.21	3.39	2.72	4.45	4.51	8.53	2.33
0.62	2.86	2.98	1.90	0.89	1.67	1.42	0.00	2.00	3.20	3.02	2.57	4.16	3.19	2.23	8.84	11.16	10.48	10.38	8.86	10.77	9.22	7.26	6.55	6.35	2.47	3.39	4.90	4.19	2.31	5.38	5.86	6.39	3.22	6.54	6.80	6.98	6.82	4.90	6.67	6.87	5.78	6.72	4.64	5.17	3.60	3.31	4.67	4.73	8.74	2.30
1.69	2.13	2.25	1.17	1.96	1.43	2.03	2.30	0.00	3.66	3.47	3.64	3.22	3.65	0.85	9.91	12.23	11.55	11.45	9.93	11.84	10.20	8.33	7.62	7.42	2.59	3.51	5.02	4.31	2.93	5.50	6.47	7.00	3.34	6.85	5.87	6.05	5.89	3.52	5.70	5.93	4.85	5.78	3.67	3.44	4.67	4.96	5.74	5.80	11.08	2.75
1.61	0.50	0.63	1.83	1.87	1.35	2.68	2.95	1.49	0.00	1.85	3.56	1.54	2.02	2.95	8.63	10.95	10.27	10.17	8.65	10.56	8.58	7.05	8.88	8.69	3.24	4.16	5.68	4.96	3.58	6.16	7.12	7.66	3.99	7.50	4.19	4.37	4.21	3.32	4.89	4.25	3.16	4.10	3.30	3.25	4.59	4.30	6.76	6.83	10.84	1.13
1.91	0.80	0.92	2.12	2.17	1.64	2.98	3.25	1.79	0.30	0.00	3.85	1.25	1.15	3.25	8.08	10.40	9.71	9.62	8.10	10.01	8.02	6.50	8.33	8.13	3.54	4.46	5.97	5.26	3.88	6.45	7.42	8.45	4.29	7.80	3.90	4.08	3.92	4.33	5.19	3.96	2.87	3.81	3.60	3.54	5.40	4.59	6.21	6.27	10.29	1.43
3.42	2.32	2.44	3.64	3.69	3.16	4.50	4.77	3.30	1.81	1.63	0.00	2.77	1.80	4.77	8.41	10.73	10.05	9.95	8.43	10.34	8.36	6.83	8.66	8.47	5.06	5.98	7.49	6.77	5.39	7.97	8.95	8.78	5.81	9.32	5.41	5.60	5.43	5.85	6.46	5.48	4.39	5.33	4.86	4.81	5.73	6.67	6.54	6.61	10.62	0.91
3.37	2.27	2.39	3.16	3.63	3.11	4.42	4.69	3.23	2.69	2.39	5.32	0.00	2.19	3.99	10.71	13.02	12.34	12.25	10.73	12.64	8.34	9.23	9.37	9.17	4.98	5.90	7.42	6.70	5.32	7.90	8.86	9.49	5.73	9.24	2.65	2.83	2.67	3.08	3.69	2.71	1.62	2.56	2.09	2.04	6.44	6.06	7.25	7.31	11.33	2.89
2.65	1.54	1.67	2.87	2.91	2.38	3.72	3.99	2.53	1.04	0.85	2.99	1.99	0.00	3.99	7.40	9.72	9.04	8.94	7.42	9.33	7.35	5.82	7.65	7.46	4.28	5.20	6.72	6.00	4.62	7.19	7.94	7.77	5.03	8.54	4.64	4.82	4.66	5.07	5.68	4.70	3.62	4.56	4.09	4.03	4.72	5.66	5.53	5.60	9.61	2.17
2.17	2.61	2.73	1.65	2.43	1.91	2.25	2.52	1.32	4.14	3.95	4.12	2.95	4.13	0.00	11.06	13.37	12.69	12.60	11.07	12.98	11.07	9.48	8.76	8.57	2.65	3.57	5.09	4.37	3.08	5.56	6.63	7.16	3.40	7.31	5.60	5.78	5.62	3.35	4.99	5.66	4.58	5.52	2.96	3.28	5.82	5.12	6.88	6.94	11.24	3.23
9.74	8.31	8.44	9.82	10.00	9.08	9.93	10.20	9.30	7.81	8.22	8.93	8.76	7.51	11.68	0.00	2.31	1.63	1.54	1.18	1.93	5.04	2.05	4.54	4.03	11.59	12.51	13.85	11.63	10.06	13.00	9.95	9.78	11.34	11.35	11.41	11.59	11.43	11.84	16.53	11.47	10.39	11.33	10.86	10.80	6.38	7.44	6.69	6.75	8.72	9.70
