Run,Score,Dist_km,Max_Fatigue,Violations,Generations
1,130.92507241599998,76.12119999999997,17.921548966399996,1,80
2,129.0076844,76.93969999999999,16.82719376,1,80
3,132.25786682781842,82.10889999999999,16.059586731127368,1,80
4,127.28378280799998,76.16359999999999,16.448073123199997,1,80
5,133.48337317500426,81.59119999999999,16.75686927000171,1,80
6,127.22613759999999,75.90249999999999,16.52945504,1,80
7,126.40053986512251,77.1163,15.71369594604901,1,80
8,132.8735817426681,82.06700000000001,16.322632697067238,1,80
9,129.02968592241268,78.77279999999999,16.102754368965083,1,80
10,128.88228280799999,77.76209999999999,16.448073123199997,1,80
