Run,Original_km,Elevation_Penalty_km,Effective_km,Time_min,Generations
1,64.53389999999999,0.8500000000000085,65.3839,784.6068,50
2,65.6309,0.8499999999999943,66.48089999999999,797.7707999999999,50
3,70.17110000000001,0.8499999999999943,71.0211,852.2532000000001,50
4,57.49310000000001,0.9499999999999957,58.44310000000001,701.3172000000001,50
5,67.48760000000001,0.8499999999999801,68.3376,820.0512,50
6,63.18580000000001,0.8999999999999986,64.0858,769.0296000000001,50
7,61.217099999999995,0.8999999999999986,62.11709999999999,745.4051999999999,50
8,67.8927,0.8999999999999773,68.79269999999998,825.5123999999998,50
9,60.60220000000002,0.9999999999999858,61.6022,739.2264000000001,50
10,59.189,0.8500000000000014,60.039,720.468,50
