Run,Original_km,Elev_Gain_m,Penalty_km,Effective_km,Time_min,Iterations
1,81.27600000000001,45.0,2.250000000000014,83.52600000000002,1002.3120000000004,999
2,71.65020000000001,46.0,2.299999999999983,73.9502,887.4024,999
3,79.68350000000001,48.0,2.3999999999999915,82.0835,985.002,999
4,89.9925,48.0,2.4000000000000057,92.39250000000001,1108.7100000000003,999
5,93.1154,45.0,2.25,95.3654,1144.3847999999998,999
6,86.55879999999999,44.0,2.200000000000003,88.7588,1065.1055999999999,999
7,94.1376,46.0,2.3000000000000114,96.43760000000002,1157.2512000000002,999
8,80.2392,48.0,2.4000000000000057,82.6392,991.6704000000001,999
9,79.0665,40.0,2.000000000000014,81.06650000000002,972.7980000000002,999
10,69.41159999999999,45.0,2.25,71.66159999999999,859.9391999999999,999
